zams_mass_1,zams_mass_2,zams_separation_rsun,metallicity,delay_time_myr,mass_1,mass_2,stellar_type_1,stellar_type_2
65.5862,25.3211,877.844164876196,0.00012589254117941674,2359.26513,25.1515,12.0036,14,14
84.1511,24.5203,126.3829360345684,0.008282888557850927,631.06285,7.97865,3.09071,14,14
21.9041,11.1494,501.8349449654577,0.0010211532151708522,685.7905,3.63251,4.05675,14,14
37.9026,22.3218,129.60979103459206,0.0003585464728475101,9268.73181,10.6746,14.9346,14,14
44.0167,26.5093,721.8865395952096,0.0017233109056135083,1646.4794,9.66698,5.64978,14,14
25.4374,18.4183,769.2916534685314,0.00012589254117941674,170.9992,9.16969,7.35526,14,14
24.2005,21.4322,779.5447661514901,0.00021245782310305673,365.6219,8.74409,8.69447,14,14
46.2665,16.6326,285.96678059077385,0.0017233109056135083,3122.9034,11.0273,3.38301,14,14
36.0595,33.3868,54445.89411662249,0.00012589254117941674,672.29742,13.7432,10.8763,14,14
26.7376,9.27917,212.52193287932772,0.00021245782310305673,37.7376,5.70883,2.48613,14,14
29.5407,17.0085,1223.2436557639376,0.0003585464728475101,60.6861,11.5034,7.68864,14,14
28.1042,19.5894,325.57458045020553,0.0003585464728475101,84.2918,6.9839,11.4766,14,14
26.7376,24.0378,1962.8477414447868,0.0010211532151708522,355.6103,11.7553,6.20389,14,14
28.1042,10.1285,1145.5671581581191,0.0006050875007272942,33.6514,6.54078,3.21873,14,14
26.7376,20.4382,984.1293371664663,0.00012589254117941674,294.8183,11.5249,7.85808,14,14
39.8399,19.1644,279.9380908931676,0.0029082809839751293,208.0591,6.23414,6.07427,14,14
24.2005,9.38193,361.63007683545635,0.0003585464728475101,570.9543,4.80161,3.06494,14,14
53.7298,33.7998,131.39149062444338,0.0029082809839751293,6153.01277,12.4256,14.34,14,14
34.306,15.5851,78.08985468096355,0.00021245782310305673,1188.5114,7.24954,3.31329,14,14
44.0167,17.6073,254.18629519560955,0.0017233109056135083,755.1833,9.6577,4.47938,14,14
44.0167,19.3877,105.60629797595223,0.0010211532151708522,2216.9708,11.4602,4.40442,14,14
53.7298,28.7267,349.70919986654377,0.0003585464728475101,150.55797,18.588,10.8975,14,14
41.8762,22.964,106.39751095158202,0.0017233109056135083,1786.23302,8.42907,8.44771,14,14
29.5407,29.3418,1651.707891843418,0.00012589254117941674,649.02561,6.12843,7.76873,14,14
26.7376,17.9184,1206.4301196055226,0.00012589254117941674,900.8348,11.363,6.49104,14,14
44.0167,30.0702,656.7532387097637,0.0029082809839751293,3489.58084,7.57529,5.43677,14,14
46.2665,37.2204,144.5172741947127,0.0010211532151708522,4661.55692,13.2978,18.1463,14,14
23.0236,22.8688,975.1228738780756,0.0003585464728475101,18.82201,3.52903,4.11502,14,14
25.4374,12.5975,1595.3777109424689,0.00012589254117941674,74.1853,9.27935,4.25659,14,14
39.8399,20.7755,104.03457039981511,0.0010211532151708522,4134.68343,8.79425,8.64688,14,14
31.0507,28.332,9779.771725705941,0.0006050875007272942,30.39303,24.6373,4.69545,14,14
29.5407,13.0301,761.7040684564856,0.0006050875007272942,715.0616,7.23182,7.07526,14,14
37.9026,18.7459,3545.8643958166726,0.004908051271653857,29.649,10.2459,2.38957,14,14
31.0507,16.621,291.3302882091245,0.00012589254117941674,75.026,9.22962,11.8133,14,14
41.8762,23.5286,786.6007949054273,0.0010211532151708522,352.90364,10.8538,4.21325,14,14
26.7376,8.91921,2433.9400515485836,0.0003585464728475101,42.6172,8.69133,2.49696,14,14
36.0595,15.893,154.04419718159272,0.00021245782310305673,27.7841,12.055,10.9746,14,14
37.9026,31.517,11511.60091791917,0.00021245782310305673,5468.07687,13.613,9.66587,14,14
31.0507,20.8035,1015.6414107238542,0.0010211532151708522,520.2012,8.14814,9.80137,14,14
46.2665,25.3668,1578.0173868176175,0.0029082809839751293,134.86636,8.56322,3.44161,14,14
19.8256,15.4273,512.7276028667703,0.00021245782310305673,230.5204,4.24837,5.43107,14,14
26.7376,9.99911,1411.360364552395,0.0006050875007272942,8301.2471,6.32815,3.20944,14,14
29.5407,24.1698,5430.067570863824,0.0010211532151708522,2906.42292,20.3696,4.11576,14,14
21.9041,15.8637,1591.6344226757712,0.00021245782310305673,3773.2075,7.50315,3.95452,14,14
32.6378,14.8299,882.5647624126846,0.0006050875007272942,375.0836,9.06594,8.92926,14,14
44.0167,28.2897,651.4493602168136,0.0029082809839751293,351.4451,7.57824,4.69508,14,14
32.6378,16.149,366.5466804696105,0.00012589254117941674,68.0151,10.6367,11.9797,14,14
97.7256,28.4642,628.2032185159243,0.00021245782310305673,5049.05937,38.0353,18.0947,14,14
28.1042,14.2913,390.84127807655153,0.0010211532151708522,205.8606,5.54153,6.52656,14,14
41.8762,35.384,477.3963713111866,0.0010211532151708522,36.60533,10.8686,11.3944,14,14
41.8762,33.1258,6069.363057898911,0.0017233109056135083,13.21567,8.48066,6.27258,14,14
34.306,19.2831,99.84864465158749,0.00012589254117941674,1718.9552,9.07524,12.6385,14,14
44.0167,28.2897,727.9107046439688,0.0029082809839751293,101.49706,7.5799,4.41479,14,14
76.166,61.2612,70.22397127579177,0.00012589254117941674,51.04248,29.6743,9.77137,14,14
34.306,33.6126,1111.2420380887042,0.00021245782310305673,17.02372,13.3769,10.8822,14,14
37.9026,16.1916,473.66973945479776,0.0006050875007272942,44.4161,11.8229,10.9549,14,14
92.9735,24.5734,161.9760149155998,0.0006050875007272942,69.43763,33.5971,6.15533,14,14
